"Element name %1 not exist","Element name %1 not exist"
"New Option","New Option"
"WYSIWYG Editor","WYSIWYG Editor"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
Close,Close
Cancel,Cancel
Submit,Submit
